KNN_algorithm,KNN_leaf_size,KNN_mean_test_score,KNN_mean_train_score,KNN_metric,KNN_n_jobs,KNN_n_neighbors,KNN_p,KNN_rank_test_score,KNN_split0_test_score,KNN_split0_train_score,KNN_split1_test_score,KNN_split1_train_score,KNN_split2_test_score,KNN_split2_train_score,KNN_std_test_score,KNN_std_train_score,KNN_weights,RBFSVM_C,RBFSVM_cache_size,RBFSVM_coef0,RBFSVM_degree,RBFSVM_gamma,RBFSVM_kernel,RBFSVM_max_iter,RBFSVM_mean_test_score,RBFSVM_mean_train_score,RBFSVM_probability,RBFSVM_rank_test_score,RBFSVM_shrinking,RBFSVM_split0_test_score,RBFSVM_split0_train_score,RBFSVM_split1_test_score,RBFSVM_split1_train_score,RBFSVM_split2_test_score,RBFSVM_split2_train_score,RBFSVM_std_test_score,RBFSVM_std_train_score,RBFSVM_tol,RBFSVM_verbose,RandomForest_RandomForestClassifier_bootstrap,RandomForest_RandomForestClassifier_criterion,RandomForest_RandomForestClassifier_max_features,RandomForest_RandomForestClassifier_min_impurity_split,RandomForest_RandomForestClassifier_min_samples_leaf,RandomForest_RandomForestClassifier_min_samples_split,RandomForest_RandomForestClassifier_min_weight_fraction_leaf,RandomForest_RandomForestClassifier_n_estimators,RandomForest_RandomForestClassifier_n_jobs,RandomForest_RandomForestClassifier_oob_score,RandomForest_RandomForestClassifier_verbose,RandomForest_RandomForestClassifier_warm_start,accuracy_KNN,accuracy_RBFSVM,accuracy_RandomForest,network_extra_noise,network_sample_size,network_sine_corruption,network_sine_periods,network_test_size,network_xor_corruption,network_xor_dim,network_xor_var
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,1,rbf,-1,0.758857142857,1.0,False,2,True,0.755784061697,1.0,0.753213367609,1.0,0.767581475129,1.0,0.00625508608032,0.0,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,0.922571428571,1.0,minkowski,1,1,2,1,0.916880891174,1.0,0.925449871465,1.0,0.92538593482,1.0,0.00402476448902,0.0,uniform,1.0,200,0.0,3,auto,rbf,-1,,,False,,True,,,,,,,,,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,0.876,0.909428914622,minkowski,1,10,2,2,0.872322193659,0.90998714102,0.862896315338,0.911273039006,0.892795883362,0.907026563839,0.0124796665525,0.00177798582097,uniform,1.0,200,0.0,3,auto,rbf,-1,,,False,,True,,,,,,,,,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.01,rbf,-1,0.681142857143,0.681570864634,False,9,True,0.671808054841,0.684097728247,0.692373607541,0.675096442349,0.679245283019,0.685518423308,0.00850348854421,0.00461470125886,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.1,rbf,-1,0.733142857143,0.743285765025,False,6,True,0.73264781491,0.741105872267,0.731790916881,0.745820831547,0.734991423671,0.74293059126,0.00135260822592,0.00194118890638,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,1,rbf,-1,0.832857142857,0.884286321721,False,4,True,0.832904884319,0.886412344621,0.825192802057,0.886412344621,0.840480274443,0.880034275921,0.00624072943126,0.00300665041886,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.01,rbf,-1,0.682857142857,0.689714211836,False,8,True,0.686375321337,0.701671667381,0.683804627249,0.677239605658,0.678387650086,0.690231362468,0.00332886617334,0.00998104849511,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.1,rbf,-1,0.823142857143,0.838857932086,False,5,True,0.824335904027,0.842691813116,0.815766923736,0.840548649807,0.829331046312,0.833333333333,0.00560105669693,0.00400326373283,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,1,rbf,-1,0.921714285714,0.974142958114,False,2,True,0.915167095116,0.976853836262,0.922022279349,0.972138876982,0.927958833619,0.973436161097,0.00522637335365,0.00198869836329,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,0.01,rbf,-1,0.715142857143,0.723713743902,False,7,True,0.711225364182,0.723531933133,0.714652956298,0.720102871839,0.719554030875,0.727506426735,0.00341753038873,0.00302522149523,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
